freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.359e+03,1.971e+02,4.192e+01,1.598e+03
1.5,7.671e+02,1.335e+02,4.993e+01,9.505e+02
3.0,4.926e+01,3.597e+01,3.523e+01,1.205e+02
4.5,3.207e+02,3.247e+01,3.361e+01,3.868e+02
6.0,1.175e+03,3.637e+01,3.412e+01,1.246e+03
7.5,2.007e+03,3.827e+01,3.935e+01,2.084e+03
9.0,2.836e+03,4.128e+01,4.686e+01,2.924e+03
10.5,3.882e+03,4.387e+01,4.501e+01,3.971e+03
12.0,5.333e+03,4.488e+01,4.779e+01,5.426e+03
13.5,7.372e+03,4.529e+01,6.732e+01,7.485e+03
15.0,7.341e+03,4.817e+01,5.057e+01,7.440e+03
16.6,6.998e+03,5.242e+01,4.040e+01,7.091e+03
18.1,8.702e+03,4.981e+01,3.838e+01,8.790e+03
19.6,1.052e+04,4.675e+01,4.226e+01,1.061e+04
21.1,1.252e+04,5.184e+01,4.405e+01,1.262e+04
22.6,1.364e+04,6.727e+01,4.129e+01,1.374e+04
24.1,1.520e+04,7.491e+01,4.066e+01,1.531e+04
25.6,1.744e+04,7.256e+01,5.063e+01,1.757e+04
27.1,2.032e+04,7.576e+01,5.723e+01,2.045e+04
28.6,2.243e+04,8.255e+01,5.260e+01,2.257e+04
30.1,2.529e+04,8.959e+01,5.438e+01,2.544e+04
31.6,2.863e+04,8.432e+01,4.824e+01,2.877e+04
33.1,3.055e+04,8.878e+01,4.676e+01,3.069e+04
34.6,3.336e+04,9.711e+01,5.608e+01,3.352e+04
36.1,3.874e+04,1.110e+02,6.582e+01,3.892e+04
37.6,4.436e+04,1.260e+02,7.760e+01,4.456e+04
39.1,4.928e+04,1.304e+02,1.213e+02,4.953e+04
40.6,5.200e+04,1.133e+02,1.587e+02,5.227e+04
42.1,5.476e+04,1.024e+02,1.521e+02,5.502e+04
43.6,6.198e+04,1.086e+02,1.325e+02,6.223e+04
45.1,7.103e+04,1.338e+02,1.326e+02,7.130e+04
46.6,8.047e+04,1.655e+02,1.928e+02,8.083e+04
48.1,9.054e+04,1.788e+02,2.958e+02,9.101e+04
49.7,1.003e+05,2.077e+02,4.108e+02,1.009e+05
51.2,1.069e+05,2.307e+02,5.719e+02,1.077e+05
52.7,1.071e+05,2.191e+02,7.518e+02,1.081e+05
54.2,1.135e+05,2.452e+02,8.303e+02,1.146e+05
55.7,1.324e+05,3.261e+02,8.784e+02,1.336e+05
57.2,1.540e+05,3.910e+02,1.132e+03,1.555e+05
58.7,1.682e+05,5.042e+02,1.334e+03,1.701e+05
60.2,1.780e+05,6.574e+02,1.217e+03,1.799e+05
61.7,1.865e+05,8.171e+02,7.841e+02,1.881e+05
63.2,1.963e+05,9.922e+02,4.962e+02,1.978e+05
64.7,2.132e+05,1.402e+03,5.062e+02,2.152e+05
66.2,2.387e+05,2.059e+03,6.898e+02,2.415e+05
67.7,2.675e+05,2.938e+03,1.133e+03,2.715e+05
69.2,2.962e+05,4.170e+03,2.402e+03,3.028e+05
70.7,3.165e+05,5.618e+03,4.950e+03,3.271e+05
72.2,3.200e+05,5.840e+03,7.270e+03,3.331e+05
73.7,3.290e+05,3.810e+03,1.147e+04,3.443e+05
75.2,3.690e+05,2.234e+03,2.123e+04,3.925e+05
76.7,4.381e+05,1.926e+03,3.517e+04,4.752e+05
78.2,5.275e+05,2.090e+03,5.607e+04,5.857e+05
79.7,6.302e+05,2.731e+03,9.229e+04,7.252e+05
81.2,7.239e+05,4.668e+03,1.496e+05,8.781e+05
82.8,7.965e+05,8.910e+03,1.904e+05,9.958e+05
84.3,9.049e+05,1.488e+04,2.037e+05,1.124e+06
85.8,1.064e+06,2.513e+04,2.023e+05,1.292e+06
87.3,1.251e+06,4.068e+04,1.872e+05,1.479e+06
88.8,1.533e+06,6.440e+04,1.672e+05,1.765e+06
90.3,1.954e+06,1.078e+05,1.574e+05,2.219e+06
91.8,2.423e+06,1.754e+05,1.478e+05,2.746e+06
93.3,2.898e+06,2.682e+05,1.249e+05,3.291e+06
94.8,3.257e+06,3.676e+05,9.261e+04,3.717e+06
96.3,3.447e+06,4.239e+05,7.436e+04,3.945e+06
97.8,3.843e+06,4.304e+05,8.551e+04,4.359e+06
99.3,5.077e+06,5.032e+05,1.135e+05,5.694e+06
100.8,7.146e+06,6.736e+05,1.494e+05,7.969e+06
102.3,9.392e+06,1.019e+06,1.851e+05,1.060e+07
103.8,1.050e+07,1.512e+06,1.817e+05,1.220e+07
105.3,1.020e+07,1.953e+06,1.461e+05,1.230e+07
106.8,9.683e+06,2.230e+06,1.059e+05,1.202e+07
108.3,9.556e+06,2.470e+06,8.006e+04,1.211e+07
109.8,8.976e+06,2.549e+06,5.516e+04,1.158e+07
111.3,8.423e+06,2.353e+06,3.596e+04,1.081e+07
112.8,7.748e+06,1.991e+06,2.526e+04,9.765e+06
114.3,6.985e+06,1.671e+06,2.246e+04,8.679e+06
115.9,6.391e+06,1.455e+06,2.274e+04,7.869e+06
117.4,5.811e+06,1.266e+06,2.211e+04,7.099e+06
118.9,5.300e+06,1.108e+06,2.216e+04,6.430e+06
120.4,4.622e+06,9.486e+05,2.352e+04,5.594e+06
121.9,3.705e+06,7.634e+05,2.395e+04,4.493e+06
123.4,3.981e+06,7.158e+05,2.905e+04,4.726e+06
124.9,4.758e+06,7.226e+05,3.790e+04,5.519e+06
126.4,5.369e+06,7.085e+05,4.534e+04,6.123e+06
127.9,5.746e+06,6.959e+05,4.975e+04,6.491e+06
129.4,5.879e+06,7.107e+05,5.140e+04,6.642e+06
130.9,5.644e+06,7.042e+05,4.881e+04,6.397e+06
132.4,4.326e+06,5.501e+05,3.689e+04,4.913e+06
133.9,1.098e+06,1.396e+05,8.646e+03,1.246e+06
135.4,1.349e+05,1.514e+04,3.647e+02,1.504e+05
136.9,1.187e+05,1.172e+04,2.629e+02,1.306e+05
138.4,1.168e+05,1.054e+04,2.831e+02,1.276e+05
139.9,1.113e+05,9.517e+03,3.116e+02,1.211e+05
141.4,1.016e+05,8.588e+03,3.576e+02,1.106e+05
142.9,9.720e+04,8.398e+03,3.914e+02,1.060e+05
144.4,9.851e+04,9.006e+03,4.090e+02,1.079e+05
145.9,9.320e+04,8.926e+03,4.179e+02,1.025e+05
147.4,8.921e+04,8.754e+03,4.063e+02,9.837e+04
149.0,8.714e+04,8.825e+03,3.949e+02,9.636e+04
150.5,8.515e+04,9.036e+03,3.784e+02,9.456e+04
152.0,8.306e+04,9.334e+03,3.838e+02,9.278e+04
153.5,8.252e+04,9.828e+03,3.829e+02,9.273e+04
155.0,8.599e+04,1.092e+04,3.825e+02,9.729e+04
156.5,9.606e+04,1.381e+04,4.064e+02,1.103e+05
158.0,1.322e+05,2.169e+04,4.527e+02,1.544e+05
159.5,1.992e+05,3.596e+04,5.391e+02,2.357e+05
161.0,2.514e+05,4.819e+04,5.801e+02,3.002e+05
162.5,2.611e+05,5.246e+04,6.584e+02,3.142e+05
164.0,2.605e+05,5.508e+04,9.653e+02,3.166e+05
165.5,2.610e+05,5.834e+04,1.328e+03,3.206e+05
167.0,2.569e+05,6.075e+04,1.761e+03,3.194e+05
168.5,2.522e+05,6.267e+04,2.232e+03,3.172e+05
170.0,2.459e+05,6.417e+04,2.924e+03,3.130e+05
171.5,2.283e+05,6.198e+04,3.595e+03,2.939e+05
173.0,2.019e+05,5.566e+04,3.882e+03,2.615e+05
174.5,1.757e+05,4.784e+04,3.815e+03,2.274e+05
176.0,1.522e+05,3.977e+04,3.533e+03,1.955e+05
177.5,1.281e+05,3.246e+04,3.121e+03,1.637e+05
179.0,1.079e+05,2.604e+04,2.715e+03,1.366e+05
180.6,8.931e+04,2.119e+04,2.433e+03,1.129e+05
182.1,7.941e+04,1.885e+04,2.497e+03,1.008e+05
183.6,7.148e+04,1.813e+04,2.795e+03,9.241e+04
185.1,6.795e+04,1.910e+04,3.037e+03,9.009e+04
186.6,6.590e+04,2.119e+04,3.369e+03,9.046e+04
188.1,6.546e+04,2.354e+04,3.706e+03,9.270e+04
189.6,6.459e+04,2.577e+04,4.072e+03,9.444e+04
191.1,6.600e+04,2.832e+04,4.651e+03,9.896e+04
192.6,6.908e+04,3.089e+04,4.913e+03,1.049e+05
194.1,7.060e+04,3.343e+04,5.064e+03,1.091e+05
195.6,6.785e+04,3.494e+04,5.225e+03,1.080e+05
197.1,6.802e+04,3.858e+04,6.094e+03,1.127e+05
198.6,7.244e+04,4.802e+04,8.559e+03,1.290e+05
