freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.606e+02,1.575e+02,1.362e+03,1.680e+03
1.5,1.319e+02,1.135e+02,8.011e+02,1.046e+03
3.0,4.891e+01,3.911e+01,4.744e+01,1.355e+02
4.5,4.765e+01,3.925e+01,3.172e+02,4.041e+02
6.0,4.605e+01,4.210e+01,1.267e+03,1.355e+03
7.5,4.793e+01,4.141e+01,2.227e+03,2.316e+03
9.0,4.776e+01,4.770e+01,3.012e+03,3.108e+03
10.5,4.625e+01,4.721e+01,4.184e+03,4.278e+03
12.0,4.498e+01,4.323e+01,5.982e+03,6.070e+03
13.5,4.835e+01,4.635e+01,5.188e+03,5.283e+03
15.0,5.477e+01,5.100e+01,5.036e+03,5.142e+03
16.5,5.352e+01,5.176e+01,6.820e+03,6.926e+03
18.0,5.850e+01,5.311e+01,8.811e+03,8.923e+03
19.5,6.290e+01,5.331e+01,1.090e+04,1.102e+04
21.0,6.609e+01,5.584e+01,1.226e+04,1.238e+04
22.6,6.665e+01,6.312e+01,1.395e+04,1.408e+04
24.1,7.847e+01,5.873e+01,1.665e+04,1.679e+04
25.6,1.107e+02,6.203e+01,1.998e+04,2.015e+04
27.1,1.409e+02,6.090e+01,2.420e+04,2.440e+04
28.6,1.839e+02,6.677e+01,2.712e+04,2.737e+04
30.1,2.368e+02,7.192e+01,3.096e+04,3.127e+04
31.6,2.925e+02,7.094e+01,3.576e+04,3.612e+04
33.1,3.404e+02,6.510e+01,3.948e+04,3.989e+04
34.6,4.279e+02,5.748e+01,4.390e+04,4.438e+04
36.1,5.237e+02,6.956e+01,5.130e+04,5.189e+04
37.6,6.378e+02,1.167e+02,5.774e+04,5.849e+04
39.1,7.938e+02,1.631e+02,6.347e+04,6.443e+04
40.6,1.015e+03,1.631e+02,6.753e+04,6.871e+04
42.1,1.202e+03,1.564e+02,7.290e+04,7.426e+04
43.6,1.577e+03,1.768e+02,8.675e+04,8.851e+04
45.1,1.970e+03,1.790e+02,1.049e+05,1.070e+05
46.6,2.426e+03,1.570e+02,1.269e+05,1.295e+05
48.1,3.104e+03,1.409e+02,1.525e+05,1.557e+05
49.6,3.915e+03,1.189e+02,1.776e+05,1.816e+05
51.1,4.803e+03,1.391e+02,1.965e+05,2.014e+05
52.6,4.894e+03,2.732e+02,2.048e+05,2.100e+05
54.1,4.878e+03,5.003e+02,2.229e+05,2.282e+05
55.6,5.752e+03,7.029e+02,2.644e+05,2.708e+05
